"id","fk_jogo","title","title","texto","large_text","te_modalidade","start_day"
"3075854","9126552","Moto Club derrota o Chapadinha por 2x0","Moto Club derrota o Chapadinha por 2x0","<p>O <a href=/equipa.php?id=3353>Moto Club</a> superou o <a href=/equipa.php?id=3194>Chapadinha</a> num duelo no domingo, por <a href=/match.php?id=9126552>2x0</a>, em partida válida pela a Grp.A do <a href=/edicao.php?id_edicao=170346>Maranhense</a>.</p><p>O primeiro gol do jogo foi marcado por <a href=/player.php?id=449130>Yago</a> pouco antes do intervalo.</p><p><a href=/player.php?id=211291>Wanderley</a> decretou o placar final, com chute de pé esquerdo aos 53 minutos.</p><p>Na próxima rodada do Maranhense, o Moto Club <a href=/match.php?id=9126555> joga em casa contra Sampaio Corrêa</a>, já o Chapadinha <a href=/match.php?id=9126554> recebe o São José-MA</a>.</p>","<p>O <a href=""/equipa.php?id=3353"">Moto Club</a> superou o <a href=""/equipa.php?id=3194"">Chapadinha</a> num duelo no domingo, por <a href=""/match.php?id=9126552"">2x0</a>, em partida v&aacute;lida pela a Grupo A do <a href=""/edicao.php?id_edicao=170346"">Maranhense</a>.</p>

<p>O primeiro gol do jogo foi marcado por <a href=""/player.php?id=449130"">Yago</a> pouco antes do intervalo.</p>

<p><a href=""/player.php?id=211291"">Wanderley</a> decretou o placar final, com chute de p&eacute; esquerdo aos 53 minutos.</p>

<p>Na pr&oacute;xima rodada do Maranhense, o Moto Club <a href=""/match.php?id=9126555""> joga em casa contra Sampaio Corr&ecirc;a</a>, j&aacute; o Chapadinha <a href=""/match.php?id=9126554""> recebe o S&atilde;o Jos&eacute;-MA</a>.</p>
","1","2023-02-07 15:01:53"
"3075500","9114113","Comercial-PI consegue vitória magra sobre o Parnahyba","Zebra comercialina no litoral com direito a golaço do ","<p>O <a href=/equipa.php?id=3201>Comercial-PI</a> superou o <a href=/equipa.php?id=3384>Parnahyba</a> num duelo apertado no domingo, por <a href=/match.php?id=9114113>0x1</a>, em jogo da sétima rodada. Antes desta partida, o time do técnico Pedro Manta vinha de um empate, e a equipe comandada por Eduardo Rodrigues vinha de quatro derrotas.</p><p>A etapa inicial terminou em 0 a 0.</p><p>Aos 70 minutos, <a href=/player.php?id=692776>Tallysom</a> deixou o time com um a menos, depois de receber o cartão vermelho. O <a href=/player.php?id=407544>Lucas Piauí</a> fez o gol solitário da partida para o Comercial-PI no minuto 85, após concluir de pé esquerdo de longe.</p><p>Na sequêncida do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o Comercial-PI <a href=/match.php?id=9114114> encara o Fluminense-PI fora de casa.</a>, enquanto o Parnahyba <a href=/match.php?id=9114116> visita a casa do 4 de Julho</a>.</p>","<p>O <a href=""/equipa.php?id=3201"">Comercial-PI</a> superou o <a href=""/equipa.php?id=3384"">Parnahyba</a> num duelo apertado no domingo, por <a href=""/match.php?id=9114113"">0x1</a>, em jogo da s&eacute;tima rodada. Antes desta partida, o time do t&eacute;cnico Pedro Manta vinha de um empate, e a equipe comandada por Eduardo Rodrigues vinha de cinco derrotas.</p>

<p>A etapa inicial terminou em 0 a 0.</p>

<p>Aos 70 minutos, <a href=""/player.php?id=692776"">Tallysom</a> no banco de reservas recebeu cart&atilde;o vermelho ap&oacute;s reclama&ccedil;&atilde;o com o &aacute;rbitro assistente. <a href=""/player.php?id=407544"">Lucas Piau&iacute;</a> fez o gol solit&aacute;rio da partida para o Comercial-PI no minuto 85, ap&oacute;s concluir de p&eacute; esquerdo de longe e acertar o &acirc;ngulo do goleiro do Tubar&atilde;o.</p>

<p>Apesar do gol da partida ser de&nbsp;<a href=""/player.php?id=407544"">Lucas Piau&iacute;</a>, o melhor jogador em campo foi o zagueiro <a href=""/player.php?id=853878"">Lucas Fernandes</a>, que realizou uma partida s&oacute;lida no setor defensivo da equipe do Comercial-PI.</p>

<p>Na sequ&ecirc;ncia do <a href=""/edicao.php?id_edicao=170207"">Piauiense</a>, o Comercial-PI <a href=""/match.php?id=9114114""> encara o l&iacute;der Fluminense-PI fora de casa.</a>, enquanto o Parnahyba <a href=""/match.php?id=9114116""> visita a casa do 4 de Julho em confronto direto</a>.</p>
","1","2023-02-06 16:39:41"
"3074215","9114111","Fluminense-PI vence o 4 de Julho por 1x3","Vaqueiro Belchior controla ações e ganha partida","<p>O <a href=/equipa.php?id=3248>Fluminense-PI</a> bateu o <a href=/equipa.php?id=3082>4 de Julho</a> em um jogo no sábado, por <a href=/match.php?id=9114111>1x3</a>, na sétima rodada. Antes desta rodada, o time treinado por Leandro Campos vinha de uma vitória, e assim como a equipe de Teresina (PI), que vinha também de um triunfo.</p><p>Em um lance infeliz, <a href=/player.php?id=775420>Xexéu</a> marcou um gol contra quando a bola mal havia começado a rolar. <a href=/player.php?id=200298>Walace</a>, empatou o jogo aos 10 minutos, depois de bater de pé direito de dentro da área. No minuto 20, <a href=/player.php?id=546106>Mateus Silva</a> marcou o segundo gol para o Fluminense-PI.</p><p>Quando o relógio marcava os 58 minutos, <a href=/player.php?id=137508>Pio</a> marcou o último gol da partida, em uma cobrança de falta.</p><p>Quanto à próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o Fluminense-PI <a href=/match.php?id=9114114> recebe o Comercial-PI</a>. Por sua vez, o 4 de Julho <a href=/match.php?id=9114116> joga em casa contra Parnahyba</a>.</p>","<p>O <a href=/equipa.php?id=3248>Fluminense-PI</a> bateu o <a href=/equipa.php?id=3082>4 de Julho</a> em um jogo no sábado, por <a href=/match.php?id=9114111>1x3</a>, na sétima rodada. Antes desta rodada, o time treinado por Leandro Campos vinha de folga na rodada anterior pois enfrentaria o Ferroviário-PI e a equipe de Teresina (PI) vinha de um triunfo.</p><p>Em um lance infeliz, <a href=/player.php?id=775420>Xexéu</a> marcou um gol contra quando a bola mal havia começado a rolar. <a href=/player.php?id=200298>Walace</a>, empatou o jogo aos 10 minutos, depois de bater de pé direito de dentro da área em rebote concedido pelo goleiro do Fluminense-PI. No minuto 20, <a href=/player.php?id=546106>Mateusão</a> marcou o segundo gol para o Fluminense-PI de cabeça dentro da área após cruzamento de <a href=/player.php?id=338386>Gean</a>.</p><p>Quando o relógio marcava os 58 minutos, <a href=/player.php?id=137508>Pio</a> marcou o último gol da partida, em uma cobrança de falta.</p><p>Quanto à próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o Fluminense-PI <a href=/match.php?id=9114114> recebe o Comercial-PI</a>. Por sua vez, o 4 de Julho <a href=/match.php?id=9114116> joga em casa contra Parnahyba</a>.</p>","1","2023-02-05 18:18:19"
"3073973","9114110","River-PI vence o Corisabbá por 2x0","River-PI vence o Corisabbá com tranquilidade","<p>O <a href=/equipa.php?id=13253>River-PI</a> venceu o <a href=/equipa.php?id=3207>Corisabbá</a> num confronto no sábado, por <a href=/match.php?id=9114110>2x0</a>, em jogo válido pela sétima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>. Antes desta rodada, o time do técnico Gerson Gusmão vinha de uma vitória, e o time do técnico Toninho Pesso vinha de um empate.</p><p>Aos 14 minutos, <a href=/player.php?id=449074>Jú</a> abriu o placar para o River-PI, em finalização de pé direito.</p><p><a href=/player.php?id=349892>João Paulo </a> selou o placar final, <a href=/match.php?id=9114110>2x0</a>.</p><p>Na sequêncida do Piauiense, o River-PI <a href=/match.php?id=9203304> encara o Ferroviário-PI fora de casa.</a>, enquanto o Corisabbá <a href=/match.php?id=9114117> joga fora contra Altos</a>.</p>","<p>O <a href=/equipa.php?id=13253>River-PI</a> venceu o <a href=/equipa.php?id=3207>Corisabbá</a> num confronto no sábado, por <a href=/match.php?id=9114110>2x0</a>, em jogo válido pela sétima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>. Antes desta rodada, o time do técnico Gerson Gusmão vinha de uma vitória, e o time do técnico Toninho Pesso vinha de um empate.</p><p>Aos 14 minutos, <a href=/player.php?id=449074>Jú</a> abriu o placar para o River-PI, após recuo de bola equivocado de <a href=/player.php?id=669321>Carlos Henrique</a> e conseguir antecipar o goleiro da Águia Soberana.</p><p><a href=/player.php?id=349892>João Paulo</a> selou o placar final, <a href=/match.php?id=9114110>2x0</a> com assistência de <a href=/player.php?id=449074>Jú</a>.</p><p>Na sequêncida do Piauiense, o River-PI <a href=/match.php?id=9203304> encara o Ferroviário-PI fora de casa.</a>, enquanto o Corisabbá <a href=/match.php?id=9114117> joga fora contra Altos</a>.</p>","1","2023-02-05 11:51:45"
"3072482","9114106","Fluminense-PI vence o Altos por 2x1","Fluminense-PI ganha em confronto direto pela liderança","<p>Em jogo válido pela sexta rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o <a href=/equipa.php?id=3248>Fluminense-PI</a> venceu o <a href=/equipa.php?id=104537>Altos</a>, por <a href=/match.php?id=9114106>2x1</a>, na quarta-feira. Antes desta rodada, a equipe do técnico Eduardo dos Santos vinha de um empate, e curiosamente, o time treinado por Fernando Tonet vinha também de um empate. <a href=/player.php?id=546106>Mateus Silva</a> foi destaque do jogo.</p><p>A etapa inicial terminou em 0 a 0.</p><p>O placar da partida foi inaugurado por Mateus Silva aos 51 minutos, em finalização de pé direito. <a href=/player.php?id=736458>Mikael</a>, empatou o jogo aos 66, em finalização de pé direito de dentro da área. Quando o relógio marcava os 82 minutos, <a href=/coach.php?id=62937>Eduardo dos Santos</a> deixou a partida após receber o cartão vermelho. Mateus Silva decretou o placar final, com chute de pé esquerdo nos minutos finais.</p><p>Na próxima rodada do Piauiense, o Fluminense-PI <a href=/match.php?id=9114111> encara o 4 de Julho fora de casa.</a>. Por sua vez, o Altos <a href=/match.php?id=9192240> recebe o Ferroviário-PI</a>.</p>","<p>Em jogo válido pela sexta rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o <a href=/equipa.php?id=3248>Fluminense-PI</a> venceu o <a href=/equipa.php?id=104537>Altos</a>, por <a href=/match.php?id=9114106>2x1</a>, na quarta-feira. Antes desta rodada, a equipe do técnico Eduardo dos Santos vinha de um empate, e curiosamente, o time treinado por Fernando Tonet vinha também de um empate. <a href=/player.php?id=546106>Mateus Silva</a> foi destaque do jogo.</p><p>A etapa inicial terminou em 0 a 0.</p><p>O placar da partida foi inaugurado por Mateus Silva aos 51 minutos, em finalização de pé direito após rebote do goleiro do Jacaré. <a href=/player.php?id=736458>Mikael</a>, empatou o jogo aos 66, em finalização de pé direito de dentro da área após rebote do goleiro do Vaqueiro Belchior. Quando o relógio marcava os 82 minutos, <a href=/coach.php?id=62937>Eduardo dos Santos</a> deixou a partida após receber o cartão vermelho em razão de excessiva reclamação contra a arbitragem. Mateus Silva decretou o placar final nos minutos finais, com chute de pé esquerdo de fora área após fazer um belo movimento de pivô.</p><p>Na próxima rodada do Piauiense, o Fluminense-PI <a href=/match.php?id=9114111> encara o 4 de Julho fora de casa.</a>. Por sua vez, o Altos <a href=/match.php?id=9192240> folga na rodada pois enfrentaria o Ferroviário-PI que desistiu do campeonato</a>.</p>","1","2023-02-02 19:28:28"
"3072479","9114109","Em casa, Corisabbá bate o Parnahyba","Corisabbá amarga empate em casa","<p>A partida entre o <a href=/equipa.php?id=3207>Corisabbá</a> e o <a href=/equipa.php?id=3384>Parnahyba</a>, na sexta rodada, na quarta-feira, terminou empatada, em <a href=/match.php?id=9114109>1x1</a>. Antes desta rodada, a equipe de Floriano (PI) vinha de um triunfo, e assim como a equipe do técnico Pedro Manta, que vinha também de uma vitória. <a href=/player.php?id=853532>Kakim</a> foi decisivo com 1 gol.</p><p>Com o placar zerado, as equipes seguiram para o vestiário.</p><p><a href=/player.php?id=832578>João Victor</a> inaugurou o marcador para o Corisabbá quando o relógio marcava os 64 minutos, em finalização de pé direito. No minuto 79, o Parnahyba viu <a href=/player.php?id=394875>Dim</a> ser expulso ao receber o segundo amarelo. Kakim decretou o placar final, depois de converter a cobrança de um pênaltina reta final da partida. Este é o 3 jogos seguido que Kakim balança as redes.</p><p>Na próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o Corisabbá <a href=/match.php?id=9114110> enfrenta o River-PI fora de casa.</a>. Por sua vez, o Parnahyba <a href=/match.php?id=9114113> recebe o Comercial-PI</a>.</p>","<p>A partida entre o <a href=/equipa.php?id=3207>Corisabbá</a> e o <a href=/equipa.php?id=3384>Parnahyba</a>, na sexta rodada, na quarta-feira, terminou empatada, em <a href=/match.php?id=9114109>1x1</a>. Antes desta rodada, a equipe de Floriano (PI) vinha de um triunfo, e assim como a equipe do técnico Pedro Manta, que vinha também de uma vitória. <a href=/player.php?id=853532>Kakim</a> foi decisivo com 1 gol.</p><p>Com o placar zerado, as equipes seguiram para o vestiário.</p><p><a href=/player.php?id=832578>João Victor</a> inaugurou o marcador para o Corisabbá quando o relógio marcava os 64 minutos, em finalização de pé direito após falha grotesca do goleiro <a href=/player.php?id=274163>Cris</a>. No minuto 79, o Parnahyba viu <a href=/player.php?id=394875>Dim</a> ser expulso ao receber o segundo amarelo em falta dura no campo de ataque. Kakim decretou o placar final, depois de converter a cobrança de um pênalti na reta final da partida. Este é o 3º jogo seguido que Kakim balança as redes.</p><p>Na próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o Corisabbá <a href=/match.php?id=9114110> enfrenta o River-PI fora de casa.</a>. Por sua vez, o Parnahyba <a href=/match.php?id=9114113> recebe o Comercial-PI</a>.</p>","1","2023-02-02 19:11:29"
"3072472","9114108","River-PI se impõe diante o Comercial-PI e vence por 0x4","River-PI ganha em ritmo de treino","<p>Em jogo da sexta rodada, o <a href=/equipa.php?id=13253>River-PI</a> superou o <a href=/equipa.php?id=3201>Comercial-PI</a>, por <a href=/match.php?id=9114108>0x4</a>, na quarta-feira. Antes desta rodada, a equipe de Campo Maior (PI) vinha de três derrotas, e a equipe do técnico Gerson Gusmão vinha de dois empates.</p><p><a href=/player.php?id=392117>Júnior Mandacaru</a> fez o primeiro gol da partida, depois de bater de pé direito quando o relógio marcava os 13 minutos. Pouco antes do intervalo, <a href=/player.php?id=340137>Nininho</a> fez o segundo gol para o River-PI, após cobrança de falta.</p><p>Aos 51, o time treinado por Gerson Gusmão aumentou mais uma vez o placar, com gol de <a href=/player.php?id=691658>Lucas Mingoti</a>, após cobrança de escanteio. <a href=/player.php?id=449074>Jú</a> selou o placar final, <a href=/match.php?id=9114108>0x4</a>.</p><p>No próximo jogo do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o River-PI <a href=/match.php?id=9114110> recebe o Corisabbá</a>, enquanto o Comercial-PI <a href=/match.php?id=9114113> encara o Parnahyba fora de casa.</a>.</p>","<p>Em jogo da sexta rodada, o <a href=/equipa.php?id=13253>River-PI</a> superou o <a href=/equipa.php?id=3201>Comercial-PI</a>, por <a href=/match.php?id=9114108>0x4</a>, na quarta-feira. Antes desta rodada, a equipe de Campo Maior (PI) vinha de três derrotas, e a equipe do técnico Gerson Gusmão vinha de dois empates.</p><p><a href=/player.php?id=392117>Júnior Mandacaru</a> fez o primeiro gol da partida com assistência de <a href=/player.php?id=449074>Jú</a>, depois de bater de pé direito quando o relógio marcava os 13 minutos. Pouco antes do intervalo, <a href=/player.php?id=340137>Nininho</a> fez o segundo gol para o River-PI, após uma bela cobrança de falta.</p><p>Aos 51, o time treinado por Gerson Gusmão aumentou mais uma vez o placar, com gol de <a href=/player.php?id=691658>Lucas Mingoti</a>, após cobrança de escanteio de <a href=/player.php?id=857216>Josué</a>. Após a assistência de <a href=/player.php?id=136376>Jânio Daniel</a>, <a href=/player.php?id=449074>Jú</a> selou o placar final, <a href=/match.php?id=9114108>0x4</a>.</p><p>No próximo jogo do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o River-PI <a href=/match.php?id=9114110> recebe o Corisabbá</a>, enquanto o Comercial-PI <a href=/match.php?id=9114113> encara o Parnahyba fora de casa.</a>.</p>","1","2023-02-02 18:56:09"
"3071839","9114105","Corisabbá se impõe diante o Comercial-PI e vence por 4x0","Corisabbá se impõe diante o Comercial-PI e vence por 4x0","<p>O <a href=/equipa.php?id=3207>Corisabbá</a> venceu o <a href=/equipa.php?id=3201>Comercial-PI</a> em um jogo no domingo, por <a href=/match.php?id=9114105>4x0</a>, em jogo válido pela quinta rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>. Nesta competição, o time do técnico Toninho Pesso vinha de um empate, e a equipe de Campo Maior (PI) vinha de duas derrotas. <a href=/player.php?id=900677>Bruno Henrique</a> foi o melhor em campo.</p><p>Bruno Henrique inaugurou o marcador para o Corisabbá aos 20, com chute de pé esquerdo. Quando o relógio marcava os 32 minutos, o atacante fez o segundo gol para a equipe de Floriano (PI), de cabeça. Vencendo por 2 gols, <a href=/player.php?id=543378>Esdras</a> fez mais um para o time do técnico Toninho Pesso pouco antes do intervalo, após cobrança de escanteio.</p><p>Aos 65, a equipe comandada por Toninho Pesso viu meia ser expulso com vermelho direto. Aos 65 minutos, o Comercial-PI ficou em desvantagem depois de ver <a href=/player.php?id=713454>Alexandre Pirueta</a> ser expulso. No minuto 79, o meia fechou o placar, de pênalti.</p><p>No próximo jogo do Piauiense, o Corisabbá <a href=/match.php?id=9114109> joga em casa contra Parnahyba</a>, já o Comercial-PI <a href=/match.php?id=9114108> recebe o River-PI</a>.</p>","<p>O <a href=/equipa.php?id=3207>Corisabbá</a> venceu o <a href=/equipa.php?id=3201>Comercial-PI</a> em um jogo no domingo, por <a href=/match.php?id=9114105>4x0</a>, em jogo válido pela quinta rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>. Nesta competição, o time do técnico Toninho Pesso vinha de um empate, e a equipe de Campo Maior (PI) vinha de duas derrotas. <a href=/player.php?id=900677>Bruno Henrique</a> foi o melhor em campo.</p><p>Bruno Henrique inaugurou o marcador para o Corisabbá aos 20, com chute de pé esquerdo após driblar o defensor do Comercial-PI. Quando o relógio marcava os 32 minutos, o atacante fez o segundo gol para a equipe de Floriano (PI), de cabeça após assistência de <a href=/player.php?id=259818>Marcelinho Araxá</a>. Vencendo por 2 gols, <a href=/player.php?id=543378>Esdras</a> fez mais um para o time do técnico Toninho Pesso pouco antes do intervalo, após cobrança de escanteio cobrado por <a href=/player.php?id=259818>Marcelinho Araxá</a> que festejou sua segunda assistência na partida.</p><p>Aos 65, a equipe comandada por Toninho Pesso viu meia ser expulso com vermelho direto após falta dura no adversário. Aos 65 minutos, o Comercial-PI ficou em desvantagem depois de ver <a href=/player.php?id=713454>Alexandre Pirueta</a> ser expulso. No minuto 79, o meia-atacante fechou o placar, de pênalti após o mesmo sofrer falta dentro da área.</p><p>No próximo jogo do Piauiense, o Corisabbá <a href=/match.php?id=9114109> joga em casa contra Parnahyba</a>, já o Comercial-PI <a href=/match.php?id=9114108> recebe o River-PI</a>.</p>","1","2023-01-30 17:57:16"
"3071679","9114104","Empate em 0x0 no encontro entre 4 de Julho e Altos","4 de Julho segue sem vencer em Piripiri (PI)","<p><a href=/equipa.php?id=3082>4 de Julho</a> e <a href=/equipa.php?id=104537>Altos</a> empataram sem gols no domingo, em <a href=/match.php?id=9114104>0x0</a>, na quinta rodada. Antes desta partida, a equipe de Piripiri (PI) vinha de um empate, e o time do técnico Fernando Tonet vinha de um triunfo.</p><p>O primeiro tempo chegou ao fim sem gols.</p><p>Assim como na primeira etapa, a segunda não teve gols e o jogo terminou em 0 a 0.</p><p>Quanto à próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o 4 de Julho <a href=/match.php?id=9192239> joga fora contra Ferroviário-PI</a>, já o Altos <a href=/match.php?id=9114106> visita o Fluminense-PI</a>.</p>","<p><a href=/equipa.php?id=3082>4 de Julho</a> e <a href=/equipa.php?id=104537>Altos</a> empataram sem gols no domingo, em <a href=/match.php?id=9114104>0x0</a>, na quinta rodada. Antes desta partida, a equipe de Piripiri (PI) vinha de um empate, e o time do técnico Fernando Tonet vinha de um triunfo.</p><p>O primeiro tempo chegou ao fim sem gols.</p><p>Assim como na primeira etapa, a segunda não teve gols e o jogo terminou em 0 a 0.</p><p>Quanto à próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o 4 de Julho <a href=/match.php?id=9192239> irá ter folga pois jogaria fora contra Ferroviário-PI</a>, já o Altos <a href=/match.php?id=9114106> visita o Fluminense-PI</a>.</p>","1","2023-01-30 17:26:54"
"3070702","9114102","Duelo entre River-PI e Fluminense-PI não foi além de um empate","Empate sofrido no final da partida frusta equipe mandante","<p><a href=/equipa.php?id=13253>River-PI</a> e <a href=/equipa.php?id=3248>Fluminense-PI</a> empataram no sábado, em <a href=/match.php?id=9114102>2x2</a>, em jogo da quinta rodada. Antes desta partida, o time treinado por Gerson Gusmão vinha de um empate, e a equipe do técnico Eduardo dos Santos vinha de um triunfo. <a href=/player.php?id=347089>Augusto</a> foi decisivo com 1 gol.</p><p>O primeiro gol do jogo foi marcado por <a href=/player.php?id=448428>Denis Macedo</a> aos 22 minutos. <a href=/player.php?id=84468>Leandro Amaro</a>, empatou o jogo aos 24, após cobrança de escanteio.</p><p>Quando o relógio marcava os 52 minutos, <a href=/player.php?id=187932>Buba</a> marcou o segundo gol para o River-PI, de cabeça. Augusto selou o placar final, <a href=/match.php?id=9114102>2x2</a>.</p><p>Na próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o River-PI <a href=/match.php?id=9114108> enfrenta o Comercial-PI fora de casa.</a>, enquanto o Fluminense-PI <a href=/match.php?id=9114106> joga em casa contra Altos</a>.</p>","<p><a href=/equipa.php?id=13253>River-PI</a> e <a href=/equipa.php?id=3248>Fluminense-PI</a> empataram no sábado, em <a href=/match.php?id=9114102>2x2</a>, em jogo da quinta rodada. Antes desta partida, o time treinado por Gerson Gusmão vinha de um empate, e a equipe do técnico Eduardo dos Santos vinha de um triunfo. <a href=/player.php?id=347089>Augusto</a> foi decisivo com 1 gol no final da partida.</p><p>O primeiro gol do jogo foi marcado por <a href=/player.php?id=448428>Denis Macedo</a> aos 22 minutos após lançamento de <a href=/player.php?id=137508>Pio</a> e falha da defesa do River-PI. <a href=/player.php?id=84468>Leandro Amaro</a>, empatou o jogo aos 24, após cobrança de escanteio de <a href=/player.php?id=553219>Hadrian</a>.</p><p>Quando o relógio marcava os 52 minutos, <a href=/player.php?id=187932>Buba</a> marcou o gol da virada para o River-PI, de cabeça. Augusto selou o placar final, <a href=/match.php?id=9114102>2x2</a>.</p><p>Na próxima rodada do <a href=/edicao.php?id_edicao=170207>Piauiense</a>, o River-PI <a href=/match.php?id=9114108> enfrenta o Comercial-PI fora de casa.</a>, enquanto o Fluminense-PI <a href=/match.php?id=9114106> joga em casa contra Altos</a>.</p>","1","2023-01-29 17:42:02"
