"id","fk_jogo","title","title","texto","large_text","te_modalidade","start_day"
"2464001","8712440","Cukaricki y Radnicki Nis no pasaron del empate","Cukaricki y Radnicki Nis no pasaron del empate","<p>El partido entre el Cukaricki y el Radnicki Nis, en la jornada 13 del <a href=/edicao.php?id_edicao=165626>Liga Sérvia</a>, el lunes, terminó empatado, <a href=/match.php?id=8712440>2x2</a>. Llegan a esta jornada, la equipo de &#268;ukarica llegaba de cuatro victorias, y la equipo de Niš llegaba de una victoria. <a href=/player.php?id=105644>Aleksandar Pejovic</a> fue decisivo con 1 gol.</p><p><a href=/player.php?id=218359>Marko Docic</a> fue el primero en marcar al minuto 12, de penalti. <a href=/player.php?id=252989>Sasa Jovanovic</a>, empató el partido en el vigésimo cuarto minuto del partido.</p><p>En los minutos finales, <a href=/player.php?id=511769>Stefan Kovac</a> marcó el segundo gol para el Cukaricki. A los 89 minutos, Aleksandar Pejovic hizo el ultimo gol del partido, de penalti.</p><p>Después de este resultado el Cukaricki ocupa el tercero lugar en la <a href=/edicao.php?id_edicao=165626> clasificación</a>, 26 puntos, el Radnicki Nis se queda en décima primera posición, 13 puntos. En la próxima jornada, la equipo de &#268;ukarica <a href=/match.php?id=8712455> recibe al FK Javor Ivanjica</a>, mientras la equipo de Niš <a href=/match.php?id=8712448> juega en casa ante el Radnicki Kragujevac</a>.</p>","<p>El partido entre el Cukaricki y el Radnicki Nis, en la jornada 13 del <a href=/edicao.php?id_edicao=165626>Liga Sérvia</a>, el lunes, terminó empatado, <a href=/match.php?id=8712440>2x2</a>. Llegan a esta jornada, la equipo de &#268;ukarica llegaba de cuatro victorias, y la equipo de Niš llegaba de una victoria. <a href=/player.php?id=105644>Aleksandar Pejovic</a> fue decisivo con 1 gol.</p><p><a href=/player.php?id=218359>Marko Docic</a> fue el primero en marcar al minuto 12, de penalti. <a href=/player.php?id=252989>Sasa Jovanovic</a>, empató el partido en el vigésimo cuarto minuto del partido.</p><p>En los minutos finales, <a href=/player.php?id=511769>Stefan Kovac</a> marcó el segundo gol para el Cukaricki. A los 89 minutos, Aleksandar Pejovic hizo el ultimo gol del partido, de penalti.</p><p>Después de este resultado el Cukaricki ocupa el tercero lugar en la <a href=/edicao.php?id_edicao=165626> clasificación</a>, 26 puntos, el Radnicki Nis se queda en décima primera posición, 13 puntos. En la próxima jornada, la equipo de &#268;ukarica <a href=/match.php?id=8712455> recibe al FK Javor Ivanjica</a>, mientras la equipo de Niš <a href=/match.php?id=8712448> juega en casa ante el Radnicki Kragujevac</a>.</p>","1","2022-10-03 17:04:17"
"2463997","8532307","Chaco For Ever ganó San Martin San Juan","Chaco For Ever ganó San Martin San Juan","<p>En partido para la jornada 36, el Chaco For Ever ganó el San Martin San Juan, <a href=/match.php?id=8532307>2x1</a>, el domingo. En esta competición, la equipo de Resistencia llegaba de una derrota, y la equipo de San Juan llegaba de dos derrotas consecutivas.</p><p>En el sexto minuto del partido, momento clave, con la entrada de <a href=/player.php?id=717747>Martín Garnerone</a> en el partido. <a href=/player.php?id=703650>Matías Giménez</a> fue el primero en marcar al minuto 12. Martín Garnerone, empató el partido cuando el reloj marcaba los 16 minutos de penalti.</p><p><a href=/player.php?id=458284>Yair Marín</a> marcó el gol de la victoria a los 67 minutos.</p><p>A pesar de la derrota. El San Martin San Juan. Con este resultado el Chaco For Ever ocupa el séptimo lugar en la <a href=/edicao.php?id_edicao=162136> clasificación general</a>, 55 puntos, la equipo de San Juan se queda en décima cuarta posición, 48 puntos. En los próximos partidos de la competición, mientras el San Martin San Juan <a href=/match.php?id=8532308> recibe al San Telmo</a>.</p>","<p>En partido para la jornada 36, el Chaco For Ever ganó el San Martin San Juan, <a href=/match.php?id=8532307>2x1</a>, el domingo. En esta competición, la equipo de Resistencia llegaba de una derrota, y la equipo de San Juan llegaba de dos derrotas consecutivas.</p><p>En el sexto minuto del partido, momento clave, con la entrada de <a href=/player.php?id=717747>Martín Garnerone</a> en el partido. <a href=/player.php?id=703650>Matías Giménez</a> fue el primero en marcar al minuto 12. Martín Garnerone, empató el partido cuando el reloj marcaba los 16 minutos de penalti.</p><p><a href=/player.php?id=458284>Yair Marín</a> marcó el gol de la victoria a los 67 minutos.</p><p>A pesar de la derrota. El San Martin San Juan. Con este resultado el Chaco For Ever ocupa el séptimo lugar en la <a href=/edicao.php?id_edicao=162136> clasificación general</a>, 55 puntos, la equipo de San Juan se queda en décima cuarta posición, 48 puntos. En los próximos partidos de la competición, mientras el San Martin San Juan <a href=/match.php?id=8532308> recibe al San Telmo</a>.</p>","1","2022-10-03 17:02:57"
"2169308","8872445","DHJ El Jadida batió Union Touarga","DHJ El Jadida batió Union Touarga","<p>En la jornada 1 del <a href=/edicao.php?id_edicao=167247>Liga Marroquina</a>, el DHJ El Jadida tumbó al el Union Touarga, <a href=/match.php?id=8872445>1x0</a>, el viernes. Tanto la equipo de Lassaad Chabbi como la equipo de Tarik Sektioui realizaban su primer partido en la competición.</p><p>Al inicio del partido, <a href=/player.php?id=819129>Reda Lakhmidi</a> marcó el único gol de el DHJ El Jadida.</p><p>Tras este resultado el DHJ El Jadida ocupa el segundo lugar en la <a href=/edicao.php?id_edicao=167247> clasificación general</a>, 3 puntos, el Union Touarga se queda en décima tercera posición, 0 puntos. En los próximos partidos de la competición, la equipo de Lassaad Chabbi <a href=/match.php?id=8895358> se desplaza en casa del WAC</a>. Por su parte, la equipo de Tarik Sektioui <a href=/match.php?id=8895362> juega en casa ante el Raja Casablanca</a>.</p>","<p>En la jornada 1 del <a href=/edicao.php?id_edicao=167247>Liga Marroquina</a>, el DHJ El Jadida tumbó al el Union Touarga, <a href=/match.php?id=8872445>1x0</a>, el viernes. Tanto la equipo de Lassaad Chabbi como la equipo de Tarik Sektioui realizaban su primer partido en la competición.</p><p>Al inicio del partido, <a href=/player.php?id=819129>Reda Lakhmidi</a> marcó el único gol de el DHJ El Jadida.</p><p>Tras este resultado el DHJ El Jadida ocupa el segundo lugar en la <a href=/edicao.php?id_edicao=167247> clasificación general</a>, 3 puntos, el Union Touarga se queda en décima tercera posición, 0 puntos. En los próximos partidos de la competición, la equipo de Lassaad Chabbi <a href=/match.php?id=8895358> se desplaza en casa del WAC</a>. Por su parte, la equipo de Tarik Sektioui <a href=/match.php?id=8895362> juega en casa ante el Raja Casablanca</a>.</p>","1","2022-09-02 23:59:59"
"1957547","8718609","Universitario Sucre batió Oriente Petrolero","Universitario Sucre batió Oriente Petrolero","<p>En la segunda jornada, el Universitario Sucre tumbó al el Oriente Petrolero, <a href=/match.php?id=8718609>2x0</a>, el miércoles. Llegan a esta jornada, la equipo de Sucre llegaba de una derrota, y la equipo de Santa Cruz de la Sierra llegaba de una victoria. <a href=/player.php?id=258644>Marcos Ovejero</a> hizo un gran partido.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por Marcos Ovejero cuando el reloj marcaba los 51 minutos. El delantero cerró el marcador con un gol en el septuagésimo cuarto minuto del partido. Con el gol anotado, delantero alcanzó los diez esta temporada.</p><p>Después de este resultado el Oriente Petrolero ocupa el tercero lugar en la <a href=/edicao.php?id_edicao=165686> tabla general</a>, 3 puntos, el Universitario Sucre se queda en décima posición, 3 puntos. En los próximos partidos de la competición, la equipo de Erwin Sánchez <a href=/match.php?id=8718615> juega en casa ante el Royal Pari FC</a>.</p>","<p>En la segunda jornada, el Universitario Sucre tumbó al el Oriente Petrolero, <a href=/match.php?id=8718609>2x0</a>, el miércoles. Llegan a esta jornada, la equipo de Sucre llegaba de una derrota, y la equipo de Santa Cruz de la Sierra llegaba de una victoria. <a href=/player.php?id=258644>Marcos Ovejero</a> hizo un gran partido.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por Marcos Ovejero cuando el reloj marcaba los 51 minutos. El delantero cerró el marcador con un gol en el septuagésimo cuarto minuto del partido. Con el gol anotado, delantero alcanzó los diez esta temporada.</p><p>Después de este resultado el Oriente Petrolero ocupa el tercero lugar en la <a href=/edicao.php?id_edicao=165686> tabla general</a>, 3 puntos, el Universitario Sucre se queda en décima posición, 3 puntos. En los próximos partidos de la competición, la equipo de Erwin Sánchez <a href=/match.php?id=8718615> juega en casa ante el Royal Pari FC</a>.</p>","1","2022-07-06 17:34:45"
"1957507","8704593","Empate entre Pyunik y CFR Cluj","Empate entre Pyunik y CFR Cluj","<p>El Pyunik y el CFR Cluj empataron su partido sin goles, el martes, <a href=/match.php?id=8704593>0x0</a>, en la primera jornada. Ambos equipo de Eghishe Melikyan y equipo de Dan Petrescu han realizado su primer juego en la competición.</p><p>La primera mitad termin&oacute; sin que ning&uacute;n equipo hubiera marcado.&nbsp;</p><p>En el sexagésimo cuarto minuto del partido, <a href=/player.php?id=213231>Jefté Betancor</a> salt&oacute; al terreno de juego.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Pyunik <a href=/match.php?id=8704608> juega en casa del CFR Cluj</a>.</p>","<p>El Pyunik y el CFR Cluj empataron su partido sin goles, el martes, <a href=/match.php?id=8704593>0x0</a>, en la primera jornada. Ambos equipo de Eghishe Melikyan y equipo de Dan Petrescu han realizado su primer juego en la competición.</p><p>La primera mitad termin&oacute; sin que ning&uacute;n equipo hubiera marcado.&nbsp;</p><p>En el sexagésimo cuarto minuto del partido, <a href=/player.php?id=213231>Jefté Betancor</a> salt&oacute; al terreno de juego.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Pyunik <a href=/match.php?id=8704608> juega en casa del CFR Cluj</a>.</p>","1","2022-07-06 16:50:51"
"1957190","8704649","Igualdad entre St Joseph´s y Larne","Igualdad entre St Joseph´s y Larne","<p>El partido entre el St Joseph´s y el Larne, en partido para la primera jornada, el martes martes, termin&oacute; empatado sin goles, <a href=/match.php?id=8704649>0x0</a>. Ambos equipo de Gibraltar y equipo de Larne han realizado su primer juego en la competición. Entre los titulares estiveron Bauti, Manuel Caballero, Domingo Ferrer, Juan Sánchez y Boro. Pablo Rosa no sali&oacute; del banquillo.</p><p>La primera mitad termin&oacute; sin que ning&uacute;n equipo hubiera marcado.&nbsp;</p><p>Al minuto 57, <a href=/player.php?id=581355>Domingo Ferrer</a> salt&oacute; al terreno de juego. Cuando el reloj marcaba los 77 minutos, <a href=/player.php?id=279415>Boro</a> termin&oacute; siendo sustituido. <a href=/player.php?id=481437>Bauti</a> fue llamado al partido en el octogésimo quinto minuto del partido.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165574>Europa Conference League [Qual.]</a>, el St Joseph´s <a href=/match.php?id=8704679> se enfrenta en casa del Larne </a>.</p>","<p>El partido entre el St Joseph´s y el Larne, en partido para la primera jornada, el martes martes, termin&oacute; empatado sin goles, <a href=/match.php?id=8704649>0x0</a>. Ambos equipo de Gibraltar y equipo de Larne han realizado su primer juego en la competición. Entre los titulares estiveron Bauti, Manuel Caballero, Domingo Ferrer, Juan Sánchez y Boro. Pablo Rosa no sali&oacute; del banquillo.</p><p>La primera mitad termin&oacute; sin que ning&uacute;n equipo hubiera marcado.&nbsp;</p><p>Al minuto 57, <a href=/player.php?id=581355>Domingo Ferrer</a> salt&oacute; al terreno de juego. Cuando el reloj marcaba los 77 minutos, <a href=/player.php?id=279415>Boro</a> termin&oacute; siendo sustituido. <a href=/player.php?id=481437>Bauti</a> fue llamado al partido en el octogésimo quinto minuto del partido.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165574>Europa Conference League [Qual.]</a>, el St Joseph´s <a href=/match.php?id=8704679> se enfrenta en casa del Larne </a>.</p>","1","2022-07-06 16:50:15"
"1957506","8704631","Empate entre Gzira United y Atlètic CE","Empate entre Gzira United y Atlètic CE","<p>El Gzira United y el Atlètic CE no pasaron del empate&nbsp; <a href=/match.php?id=8704631>1x1</a>, el martes. Ambos equipo de Gzira y equipo de Escaldes-Engordany han realizado su primer juego en la competición. Entre los titulares estuvieron Aleix Cisteró, Álex Sánchez, Victor Maffeo, Javi Morales, Víctor Pérez, Jorge Bolivar, Víctor Alonso y Iván Garrido. Víctor López y Ángel no salieron del banquillo.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por <a href=/player.php?id=272039>Jefferson Assis</a> en la reanudación del partido. <a href=/player.php?id=820101>Guillaume Lopez</a> cerró el marcador con un gol a los 65 minutos. <a href=/player.php?id=742406>Jorge Bolivar</a> fue llamado al partido en el sexagésimo octavo minuto del partido. En los minutos finales, <a href=/player.php?id=590513>Victor Maffeo</a> salt&oacute; al terreno de juego.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165574>Europa Conference League [Qual.]</a>, el Gzira United <a href=/match.php?id=8704661> visita al Atlètic CE</a>.</p>","<p>El Gzira United y el Atlètic CE no pasaron del empate&nbsp; <a href=/match.php?id=8704631>1x1</a>, el martes. Ambos equipo de Gzira y equipo de Escaldes-Engordany han realizado su primer juego en la competición. Entre los titulares estuvieron Aleix Cisteró, Álex Sánchez, Victor Maffeo, Javi Morales, Víctor Pérez, Jorge Bolivar, Víctor Alonso y Iván Garrido. Víctor López y Ángel no salieron del banquillo.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por <a href=/player.php?id=272039>Jefferson Assis</a> en la reanudación del partido. <a href=/player.php?id=820101>Guillaume Lopez</a> cerró el marcador con un gol a los 65 minutos. <a href=/player.php?id=742406>Jorge Bolivar</a> fue llamado al partido en el sexagésimo octavo minuto del partido. En los minutos finales, <a href=/player.php?id=590513>Victor Maffeo</a> salt&oacute; al terreno de juego.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165574>Europa Conference League [Qual.]</a>, el Gzira United <a href=/match.php?id=8704661> visita al Atlètic CE</a>.</p>","1","2022-07-06 16:48:43"
"1957177","8704607","Malmö derrotó Víkingur Reykjavík","Malmö derrotó Víkingur Reykjavík","<p>Malmö se impuso al Víkingur Reykjavík en una equilibrada victoria el martes, <a href=/match.php?id=8704607>3x2</a>, en partido de del <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>.</p><p><a href=/player.php?id=42806>Martin Olsson</a> inauguró el marcador para el Malmö en el décimo sexto minuto del partido. <a href=/player.php?id=573932>Kristall Ingason</a>, empató el partido a los 38 minutos. Centrocampista vio la segunda amarilla y posterior&nbsp;roja a los 39 minutos. En el tramo final de la primeira parte, <a href=/player.php?id=68327>Ola Toivonen</a> marcó el segundo gol para la equipo de Malmö, con un pase de <a href=/player.php?id=64571>Jo Berget</a>.</p><p>La equipo de Milos Milojevic aumentó la diferencia cuando el reloj marcaba los 84 minutos, con un gol del <a href=/player.php?id=502744>Veljko Birmancevic</a>. <a href=/player.php?id=504729>Helgi Gudjonsson</a> cerró el marcador con un gol en el nonagésimo minuto del partido.</p><p>En los próximos partidos de la competición, el Malmö <a href=/match.php?id=8704622> juega en casa del Víkingur Reykjavík</a>.</p>","<p>Malmö se impuso al Víkingur Reykjavík en una equilibrada victoria el martes, <a href=/match.php?id=8704607>3x2</a>, en partido de del <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>.</p><p><a href=/player.php?id=42806>Martin Olsson</a> inauguró el marcador para el Malmö en el décimo sexto minuto del partido. <a href=/player.php?id=573932>Kristall Ingason</a>, empató el partido a los 38 minutos. Centrocampista vio la segunda amarilla y posterior&nbsp;roja a los 39 minutos. En el tramo final de la primeira parte, <a href=/player.php?id=68327>Ola Toivonen</a> marcó el segundo gol para la equipo de Malmö, con un pase de <a href=/player.php?id=64571>Jo Berget</a>.</p><p>La equipo de Milos Milojevic aumentó la diferencia cuando el reloj marcaba los 84 minutos, con un gol del <a href=/player.php?id=502744>Veljko Birmancevic</a>. <a href=/player.php?id=504729>Helgi Gudjonsson</a> cerró el marcador con un gol en el nonagésimo minuto del partido.</p><p>En los próximos partidos de la competición, el Malmö <a href=/match.php?id=8704622> juega en casa del Víkingur Reykjavík</a>.</p>","1","2022-07-06 16:48:07"
"1957505","8704595","Ludogorets Razgrad derrot&oacute; FK Sutjeska","Ludogorets Razgrad derrot&oacute; FK Sutjeska","<p>En la jornada 1 del <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Ludogorets Razgrad tumb&oacute; al el FK Sutjeska, <a href=/match.php?id=8704595>2x0</a>, el martes. Ambos equipo de Razgrad y equipo de Niksic han realizado su primer juego en la competición.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La entrada de <a href=/player.php?id=420525>Cauly</a>, cuando el reloj marcaba los 67 minutos, terminar&iacute;a cambiando el rumbo del partido.&nbsp; <a href=/player.php?id=374827>Alex Santana</a> inauguró el marcador para el Ludogorets Razgrad a los 74 minutos, con asistencia de Cauly. <a href=/player.php?id=559463>Matías Tissera</a> cerró el marcador con un gol En el tramo final del partido.</p><p>Con respecto a los pr&oacute;ximos partidos para el Champions League [Fase Previa], el Ludogorets Razgrad <a href=/match.php?id=8704610> se enfrenta en casa del FK Sutjeska </a>.</p>","<p>En la jornada 1 del <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Ludogorets Razgrad tumb&oacute; al el FK Sutjeska, <a href=/match.php?id=8704595>2x0</a>, el martes. Ambos equipo de Razgrad y equipo de Niksic han realizado su primer juego en la competición.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La entrada de <a href=/player.php?id=420525>Cauly</a>, cuando el reloj marcaba los 67 minutos, terminar&iacute;a cambiando el rumbo del partido.&nbsp; <a href=/player.php?id=374827>Alex Santana</a> inauguró el marcador para el Ludogorets Razgrad a los 74 minutos, con asistencia de Cauly. <a href=/player.php?id=559463>Matías Tissera</a> cerró el marcador con un gol En el tramo final del partido.</p><p>Con respecto a los pr&oacute;ximos partidos para el Champions League [Fase Previa], el Ludogorets Razgrad <a href=/match.php?id=8704610> se enfrenta en casa del FK Sutjeska </a>.</p>","1","2022-07-06 16:45:30"
"1957500","8704603","Lech Poznan recebi&oacute; y derrot&oacute; al Qaraba&#287; Qaraba&#287;","Lech Poznan recebi&oacute; y derrot&oacute; al Qaraba&#287; Qaraba&#287;","<p>En partido para la jornada 1, el Lech Poznan tumb&oacute; al el Qaraba&#287;, <a href=/match.php?id=8704603>1x0</a>, el martes. Ambos equipo de John van den Brom y equipo de Qurban Qurbanov han realizado su primer juego en la competición. Dani Ramírez no sali&oacute; del banquillo.</p><p>El Mikael Ishak marcó el único gol de el Lech Poznan a los 41 minutos, con asistencia de <a href=/player.php?id=160896>Joel Pereira</a>.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Lech Poznan <a href=/match.php?id=8704618> visita al Qaraba&#287;</a>.</p>","<p>En partido para la jornada 1, el Lech Poznan tumb&oacute; al el Qaraba&#287;, <a href=/match.php?id=8704603>1x0</a>, el martes. Ambos equipo de John van den Brom y equipo de Qurban Qurbanov han realizado su primer juego en la competición. Dani Ramírez no sali&oacute; del banquillo.</p><p>El Mikael Ishak marcó el único gol de el Lech Poznan a los 41 minutos, con asistencia de <a href=/player.php?id=160896>Joel Pereira</a>.</p><p>Con respecto a los pr&oacute;ximos partidos para el <a href=/edicao.php?id_edicao=165438>Champions League [Fase Previa]</a>, el Lech Poznan <a href=/match.php?id=8704618> visita al Qaraba&#287;</a>.</p>","1","2022-07-06 16:40:26"
