"id","fk_jogo","title","title","texto","large_text","te_modalidade","start_day"
"3053509","8639393","Suiza triunfó en casa de los Camérun","Suiza triunfó en casa de los Camérun","<p>En partido de a Grp.G del <a href=/edicao.php?id_edicao=132894>Copa del Mundo</a>, el <a href=/equipa.php?id=1018>Suiza</a> tumbó al los <a href=/equipa.php?id=947>Camérun</a>, <a href=/match.php?id=8639393>1x0</a>, el jueves. Ambos equipo de Murat Yakin y equipo de Rigobert Song han realizado su primer juego en la competición.</p><p>La primera mitad terminó sin que ningún equipo hubiera marcado.</p><p><a href=/player.php?id=370795>Breel Embolo</a> marcó el gol de la victoria en la reanudación del partido a través de un remate de pie derecho.</p><p>En los próximos partidos de la competición, el Suiza <a href=/match.php?id=8639394> juega ante el Brasil</a>. Por su parte, los Camérun <a href=/match.php?id=8639395> juegan ante la Serbia</a>.</p>","<p>En partido de a Grp.G del <a href=/edicao.php?id_edicao=132894>Copa del Mundo</a>, el <a href=/equipa.php?id=1018>Suiza</a> tumbó al los <a href=/equipa.php?id=947>Camérun</a>, <a href=/match.php?id=8639393>1x0</a>, el jueves. Ambos equipo de Murat Yakin y equipo de Rigobert Song han realizado su primer juego en la competición.</p><p>La primera mitad terminó sin que ningún equipo hubiera marcado.</p><p><a href=/player.php?id=370795>Breel Embolo</a> marcó el gol de la victoria en la reanudación del partido a través de un remate de pie derecho.</p><p>En los próximos partidos de la competición, el Suiza <a href=/match.php?id=8639394> juega ante el Brasil</a>. Por su parte, los Camérun <a href=/match.php?id=8639395> juegan ante la Serbia</a>.</p>","1","2022-11-24 12:07:26"
"2475945","8708814","Manchester City se impuso al Manchester United","Manchester City se impuso al Manchester United","<p>En la jornada 9 del <a href=/edicao.php?id_edicao=165592>Liga Inglesa</a>, el Manchester City se impuso al el Manchester United, alargando una racha de 8 partidos sin perder, <a href=/match.php?id=8708814>6x3</a>, el domingo. En esta competición, la equipo de Pep Guardiola llegaba de una victoria, y la equipo de Erik ten Hag llegaba de cuatro victorias. <a href=/player.php?id=512741>Erling Haaland</a> firmó una gran actuación con 3 goles y 2 asistencias. En este partido se batió el récord de tiros a puerta esta temporada, con 17 disparos.</p><p><a href=/player.php?id=480209>Phil Foden</a> inauguró el marcador para el Manchester City a los 8 minutos, asistido por <a href=/player.php?id=74953>Bernardo Silva</a>. La equipo de Pep Guardiola aumentó la diferencia en el treinta y cuatro minuto del partido, con un gol del Erling Haaland desde un saque de esquina. Ganando por 2 goles, el delantero aumentó el ventaje del Manchester City cuando el reloj marcaba los 37 minutos a través de un remate de pie izquierdoo desde el interior del área. Phil Foden aumentó la ventaja a través de un remate de pie derecho poco antes del final de la primera parte.</p><p><a href=/player.php?id=619622>Antony</a> redujo la desventaja a los 56 minutos a través de un remate de pie izquierdoo desde el exterior del área. En el sesenta y cuatro minuto del partido, Erling Haaland marcó el triplete, a través de un remate de pie izquierdoo dentro del área, con asistencia de <a href=/player.php?id=564396>Sergio Gómez</a>. Erling Haaland marcó su diecisiete de la temporada. Phil Foden hizo el triplete al minuto 73, a través de un remate de pie izquierdoo, despues de un toque de Erling Haaland. Con este gol, Phil Foden llegó al seis gol en esta temporada. En el ochenta y cuatro minuto del partido, <a href=/player.php?id=236654>Anthony Martial</a> marcó el segundo gol para el Manchester United. El delantero cerró el marcador con un gol en el descuento de penalti.</p><p>Además de la victoria, el Manchester City rompió su récord de disparos en la temporada, con 22 tiros. Además de la derrota, el Manchester United. Después de este resultado la equipo de Pep Guardiola ocupa el dos lugar en la <a href=/edicao.php?id_edicao=165592> clasificación general</a>, 20 puntos, la equipo de Erik ten Hag se queda en sexta posición, 12 puntos. Con respecto a los próximos partidos para el Liga Inglesa, el Manchester City <a href=/match.php?id=8708823> juega en casa ante el Southampton</a>, mientras el Manchester United <a href=/match.php?id=8708822> se enfrenta al Everton</a>.</p>","<p>En la jornada 9 del <a href=/edicao.php?id_edicao=165592>Liga Inglesa</a>, el Manchester City se impuso al el Manchester United, alargando una racha de 8 partidos sin perder, <a href=/match.php?id=8708814>6x3</a>, el domingo. En esta competición, la equipo de Pep Guardiola llegaba de una victoria, y la equipo de Erik ten Hag llegaba de cuatro victorias. <a href=/player.php?id=512741>Erling Haaland</a> firmó una gran actuación con 3 goles y 2 asistencias. En este partido se batió el récord de tiros a puerta esta temporada, con 17 disparos.</p><p><a href=/player.php?id=480209>Phil Foden</a> inauguró el marcador para el Manchester City a los 8 minutos, asistido por <a href=/player.php?id=74953>Bernardo Silva</a>. La equipo de Pep Guardiola aumentó la diferencia en el treinta y cuatro minuto del partido, con un gol del Erling Haaland desde un saque de esquina. Ganando por 2 goles, el delantero aumentó el ventaje del Manchester City cuando el reloj marcaba los 37 minutos a través de un remate de pie izquierdoo desde el interior del área. Phil Foden aumentó la ventaja a través de un remate de pie derecho poco antes del final de la primera parte.</p><p><a href=/player.php?id=619622>Antony</a> redujo la desventaja a los 56 minutos a través de un remate de pie izquierdoo desde el exterior del área. En el sesenta y cuatro minuto del partido, Erling Haaland marcó el triplete, a través de un remate de pie izquierdoo dentro del área, con asistencia de <a href=/player.php?id=564396>Sergio Gómez</a>. Erling Haaland marcó su diecisiete de la temporada. Phil Foden hizo el triplete al minuto 73, a través de un remate de pie izquierdoo, despues de un toque de Erling Haaland. Con este gol, Phil Foden llegó al seis gol en esta temporada. En el ochenta y cuatro minuto del partido, <a href=/player.php?id=236654>Anthony Martial</a> marcó el segundo gol para el Manchester United. El delantero cerró el marcador con un gol en el descuento de penalti.</p><p>Además de la victoria, el Manchester City rompió su récord de disparos en la temporada, con 22 tiros. Además de la derrota, el Manchester United. Después de este resultado la equipo de Pep Guardiola ocupa el dos lugar en la <a href=/edicao.php?id_edicao=165592> clasificación general</a>, 20 puntos, la equipo de Erik ten Hag se queda en sexta posición, 12 puntos. Con respecto a los próximos partidos para el Liga Inglesa, el Manchester City <a href=/match.php?id=8708823> juega en casa ante el Southampton</a>, mientras el Manchester United <a href=/match.php?id=8708822> se enfrenta al Everton</a>.</p>","1","2022-10-02 23:59:59"
"2475295","8726442","Juventus batió Bologna","Juventus batió Bologna","<p>En la octava jornada del <a href=/edicao.php?id_edicao=165792>Serie A</a>, la Juventus ganó el Bologna, <a href=/match.php?id=8726442>3x0</a>, el domingo. En esta competición, ambos los equipos llegaban de una derrota.</p><p><a href=/player.php?id=211361>Filip Kostic</a> inauguró el marcador para la Juventus al minuto 24, a través de un remate de pie izquierdoo desde el interior del área, despues de un toque de <a href=/player.php?id=502745>Dusan Vlahovic</a>.</p><p>A los 59 minutos, la equipo de Massimiliano Allegri aumentó la ventaja con un gol de Dusan Vlahovic. Con el gol anotado, delantero alcanzó los cinco esta temporada. <a href=/player.php?id=208336>Arkadiusz Milik</a> cerró el marcador con un gol en el sesenta y dos minuto del partido.</p><p>Después de este resultado la Juventus ocupa el siete lugar en la <a href=/edicao.php?id_edicao=165792> clasificación general</a>, 13 puntos, el Bologna se queda en decimoséptima posición, 6 puntos. En cuanto a la próxima jornada, la equipo de Massimiliano Allegri <a href=/match.php?id=8726451> se enfrenta al Milan</a>, mientras la equipo de Thiago Motta <a href=/match.php?id=8726448> recibe a Sampdoria</a>.</p>","<p>En la octava jornada del <a href=/edicao.php?id_edicao=165792>Serie A</a>, la Juventus ganó el Bologna, <a href=/match.php?id=8726442>3x0</a>, el domingo. En esta competición, ambos los equipos llegaban de una derrota.</p><p><a href=/player.php?id=211361>Filip Kostic</a> inauguró el marcador para la Juventus al minuto 24, a través de un remate de pie izquierdoo desde el interior del área, despues de un toque de <a href=/player.php?id=502745>Dusan Vlahovic</a>.</p><p>A los 59 minutos, la equipo de Massimiliano Allegri aumentó la ventaja con un gol de Dusan Vlahovic. Con el gol anotado, delantero alcanzó los cinco esta temporada. <a href=/player.php?id=208336>Arkadiusz Milik</a> cerró el marcador con un gol en el sesenta y dos minuto del partido.</p><p>Después de este resultado la Juventus ocupa el siete lugar en la <a href=/edicao.php?id_edicao=165792> clasificación general</a>, 13 puntos, el Bologna se queda en decimoséptima posición, 6 puntos. En cuanto a la próxima jornada, la equipo de Massimiliano Allegri <a href=/match.php?id=8726451> se enfrenta al Milan</a>, mientras la equipo de Thiago Motta <a href=/match.php?id=8726448> recibe a Sampdoria</a>.</p>","1","2022-10-02 23:59:59"
"2475984","8454754","Empate entre LA Galaxy y Real Salt Lake","Empate entre LA Galaxy y Real Salt Lake","<p>El LA Galaxy y el Real Salt Lake no pasaron del empate <a href=/match.php?id=8454754>1x1</a>, el sábado. En esta competición, la equipo de Los Angeles, CA llegaba de dos victorias consecutivas, y la equipo de Salt Lake City, UT llegaba de dos derrotas. Entre los titulares estuvieron Julian Araujo y Javier Hernández. Efrain Álvarez no salió del banquillo.</p><p>A los 17 minutos, <a href=/player.php?id=593586>Riqui Puig</a> desperdició una penalización. <a href=/player.php?id=473153>Sergio Córdova</a> fue el primero en marcar en el veinticinco minuto del partido.</p><p><a href=/player.php?id=74980>Douglas Costa</a> cerró el marcador con un gol al minuto 68 de penalti. <a href=/player.php?id=38676>Javier Hernández</a> terminó siendo sustituido muy cerca del final del partido.</p><p>Con respecto a los próximos partidos para el <a href=/edicao.php?id_edicao=161469>Liga Americana</a>, el LA Galaxy <a href=/match.php?id=8454767> juega en casa del Houston Dynamo</a>, mientras el Real Salt Lake <a href=/match.php?id=8454770> recibe al Portland Timbers</a>.</p>","<p>El LA Galaxy y el Real Salt Lake no pasaron del empate <a href=/match.php?id=8454754>1x1</a>, el sábado. En esta competición, la equipo de Los Angeles, CA llegaba de dos victorias consecutivas, y la equipo de Salt Lake City, UT llegaba de dos derrotas. Entre los titulares estuvieron Julian Araujo y Javier Hernández. Efrain Álvarez no salió del banquillo.</p><p>A los 17 minutos, <a href=/player.php?id=593586>Riqui Puig</a> desperdició una penalización. <a href=/player.php?id=473153>Sergio Córdova</a> fue el primero en marcar en el veinticinco minuto del partido.</p><p><a href=/player.php?id=74980>Douglas Costa</a> cerró el marcador con un gol al minuto 68 de penalti. <a href=/player.php?id=38676>Javier Hernández</a> terminó siendo sustituido muy cerca del final del partido.</p><p>Con respecto a los próximos partidos para el <a href=/edicao.php?id_edicao=161469>Liga Americana</a>, el LA Galaxy <a href=/match.php?id=8454767> juega en casa del Houston Dynamo</a>, mientras el Real Salt Lake <a href=/match.php?id=8454770> recibe al Portland Timbers</a>.</p>","1","2022-10-02 23:59:59"
"2474274","8743846","Empate entre Besiktas y Fenerbahçe","Empate entre Besiktas y Fenerbahçe","<p>El Besiktas y el Fenerbahçe no pasaron del empate sin goles <a href=/match.php?id=8743846>0x0</a>, el domingo. Llegan a esta jornada, la equipo de Valérien Ismaël llegaba de un empate, y la equipo de Jorge Jesus llegaba de dos victorias consecutivas.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>En este partido, el Besiktas hizo apenas 2 tiros a puerta, el número más bajo de esta temporada, mientras el Fenerbahçe hizo solo 1 paradas, el número más bajo de esta temporada. Después de este resultado la equipo de &#304;stanbul ocupa el seis lugar en la <a href=/edicao.php?id_edicao=166050> tabla general</a>, 15 puntos, la equipo de Istanbul se queda en séptima posición, 14 puntos. En la próxima jornada, la equipo de Valérien Ismaël <a href=/match.php?id=8743855> se enfrenta en casa del Giresunspor </a>, mientras la equipo de Jorge Jesus <a href=/match.php?id=8743853> juega en casa ante el Karagumruk</a>.</p>","<p>El Besiktas y el Fenerbahçe no pasaron del empate sin goles <a href=/match.php?id=8743846>0x0</a>, el domingo. Llegan a esta jornada, la equipo de Valérien Ismaël llegaba de un empate, y la equipo de Jorge Jesus llegaba de dos victorias consecutivas.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>En este partido, el Besiktas hizo apenas 2 tiros a puerta, el número más bajo de esta temporada, mientras el Fenerbahçe hizo solo 1 paradas, el número más bajo de esta temporada. Después de este resultado la equipo de &#304;stanbul ocupa el seis lugar en la <a href=/edicao.php?id_edicao=166050> tabla general</a>, 15 puntos, la equipo de Istanbul se queda en séptima posición, 14 puntos. En la próxima jornada, la equipo de Valérien Ismaël <a href=/match.php?id=8743855> se enfrenta en casa del Giresunspor </a>, mientras la equipo de Jorge Jesus <a href=/match.php?id=8743853> juega en casa ante el Karagumruk</a>.</p>","1","2022-10-02 23:59:59"
"2476005","8698478","Atlas derrotó Necaxa","Atlas derrotó Necaxa","<p>El Atlas tumbó al el Necaxa, rompiendo una racha de 9 partidos sin ganar, en una victoria, el sábado, <a href=/match.php?id=8698478>1x0</a>, en partido de la jornada 17 del <a href=/edicao.php?id_edicao=165492>Liga MX Apertura</a>. Llegan a esta jornada, la equipo de Guadalajara llegaba de tres derrotas, y la equipo de Aguascalientes llegaba de dos empates consecutivos.</p><p>La primera parte del partido llegó al final sin goles.</p><p>A los 76 minutos, <a href=/player.php?id=498772>Gaddi Aguirre</a> marcó el único gol de el Atlas, asistido por <a href=/player.php?id=311875>Luis Reyes</a>.</p><p>Además de la derrota. El Necaxa hizo solo 1 paradas, el número más bajo de esta temporada. Después de este resultado la equipo de Jaime Lozano ocupa el doce lugar en la <a href=/edicao.php?id_edicao=165492> clasificación general</a>, 19 puntos, el Atlas se queda en decimoséptima posición, 13 puntos. En los próximos partidos de la competición, la equipo de Aguascalientes <a href=/match.php?id=9003153> se enfrenta en casa del Tigres </a>.</p>","<p>El Atlas tumbó al el Necaxa, rompiendo una racha de 9 partidos sin ganar, en una victoria, el sábado, <a href=/match.php?id=8698478>1x0</a>, en partido de la jornada 17 del <a href=/edicao.php?id_edicao=165492>Liga MX Apertura</a>. Llegan a esta jornada, la equipo de Guadalajara llegaba de tres derrotas, y la equipo de Aguascalientes llegaba de dos empates consecutivos.</p><p>La primera parte del partido llegó al final sin goles.</p><p>A los 76 minutos, <a href=/player.php?id=498772>Gaddi Aguirre</a> marcó el único gol de el Atlas, asistido por <a href=/player.php?id=311875>Luis Reyes</a>.</p><p>Además de la derrota. El Necaxa hizo solo 1 paradas, el número más bajo de esta temporada. Después de este resultado la equipo de Jaime Lozano ocupa el doce lugar en la <a href=/edicao.php?id_edicao=165492> clasificación general</a>, 19 puntos, el Atlas se queda en decimoséptima posición, 13 puntos. En los próximos partidos de la competición, la equipo de Aguascalientes <a href=/match.php?id=9003153> se enfrenta en casa del Tigres </a>.</p>","1","2022-10-02 23:59:59"
"2476028","8454747","Colorado Rapids ganó FC Dallas","Colorado Rapids ganó FC Dallas","<p>El Colorado Rapids ganó el FC Dallas en una victoria, el sábado, <a href=/match.php?id=8454747>1x0</a>, en partido de la jornada 3 del <a href=/edicao.php?id_edicao=161469>Liga Americana</a>. En esta competición, la equipo de Denver, CO llegaba de una derrota, y la equipo de Nico Estévez llegaba de un empate.</p><p>La primera mitad terminó sin que ningún equipo hubiera marcado.</p><p>El Diego Rubio marcó el único gol de el Colorado Rapids a los 66 minutos, con un pase de <a href=/player.php?id=269857>Michael Barrios</a>. Con este gol, <a href=/player.php?id=181524>Diego Rubio</a> llegó al quince gol en esta temporada. Cuando el reloj marcaba los 77 minutos, la equipo de Denver, CO ha visto <a href=/player.php?id=630842>Gustavo Vallecilla</a> ser expulsado con roja directa.</p><p>En los próximos partidos de la competición, el Colorado Rapids <a href=/match.php?id=8454765> se enfrenta en casa del Austin FC </a>, mientras el FC Dallas <a href=/match.php?id=8454766> recibe al Sporting KC</a>.</p>","<p>El Colorado Rapids ganó el FC Dallas en una victoria, el sábado, <a href=/match.php?id=8454747>1x0</a>, en partido de la jornada 3 del <a href=/edicao.php?id_edicao=161469>Liga Americana</a>. En esta competición, la equipo de Denver, CO llegaba de una derrota, y la equipo de Nico Estévez llegaba de un empate.</p><p>La primera mitad terminó sin que ningún equipo hubiera marcado.</p><p>El Diego Rubio marcó el único gol de el Colorado Rapids a los 66 minutos, con un pase de <a href=/player.php?id=269857>Michael Barrios</a>. Con este gol, <a href=/player.php?id=181524>Diego Rubio</a> llegó al quince gol en esta temporada. Cuando el reloj marcaba los 77 minutos, la equipo de Denver, CO ha visto <a href=/player.php?id=630842>Gustavo Vallecilla</a> ser expulsado con roja directa.</p><p>En los próximos partidos de la competición, el Colorado Rapids <a href=/match.php?id=8454765> se enfrenta en casa del Austin FC </a>, mientras el FC Dallas <a href=/match.php?id=8454766> recibe al Sporting KC</a>.</p>","1","2022-10-01 23:59:59"
"2476013","8698477","Monterrey y Pachuca no pasaron del empate","Monterrey y Pachuca no pasaron del empate","<p>El Monterrey y el Pachuca no pasaron del empate sin goles <a href=/match.php?id=8698477>0x0</a>, el sábado. En esta competición, la equipo de Monterrey llegaba de tres victorias, y la equipo de Pachuca llegaba de una victoria.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Además del empate. El Pachuca. Después de este resultado el Monterrey ocupa el dos lugar en la <a href=/edicao.php?id_edicao=165492> clasificación general</a>, 35 puntos, la equipo de Pachuca se queda en cuarta posición, 32 puntos.</p>","<p>El Monterrey y el Pachuca no pasaron del empate sin goles <a href=/match.php?id=8698477>0x0</a>, el sábado. En esta competición, la equipo de Monterrey llegaba de tres victorias, y la equipo de Pachuca llegaba de una victoria.</p><p>La primera parte del partido llegó al final sin goles.</p><p>La segunda parte no fue muy diferente de la primera, con la partida a llegar al final sin goles.</p><p>Además del empate. El Pachuca. Después de este resultado el Monterrey ocupa el dos lugar en la <a href=/edicao.php?id_edicao=165492> clasificación general</a>, 35 puntos, la equipo de Pachuca se queda en cuarta posición, 32 puntos.</p>","1","2022-10-01 23:59:59"
"2476023","8698476","Tigres derrotó Atlético San Luis","Tigres derrotó Atlético San Luis","<p>El Tigres se impuso al el Atlético San Luis en una victoria, el sábado, <a href=/match.php?id=8698476>0x3</a>, en la decimoséptima jornada del <a href=/edicao.php?id_edicao=165492>Liga MX Apertura</a>. En esta competición, ambos los equipos llegaban de una derrota. <a href=/player.php?id=28681>André-Pierre Gignac</a> firmó una gran actuación con 2 goles.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por André-Pierre Gignac al minuto 54. El Tigres aumentó la diferencia a los 58 minutos, con un gol del <a href=/player.php?id=521326>Sebastián Córdova</a>. André-Pierre Gignac cerró el marcador con un gol cuando el reloj marcaba los 85 minutos.</p><p>Tras este resultado el Tigres ocupa el cinco lugar en la <a href=/edicao.php?id_edicao=165492> tabla general</a>, 30 puntos, el Atlético San Luis se queda en decimotercera posición, 18 puntos. Con respecto a los próximos partidos para el Liga MX Apertura, la equipo de Miguel Herrera <a href=/match.php?id=9003153> juega en casa ante el Necaxa</a>. Por su parte.</p>","<p>El Tigres se impuso al el Atlético San Luis en una victoria, el sábado, <a href=/match.php?id=8698476>0x3</a>, en la decimoséptima jornada del <a href=/edicao.php?id_edicao=165492>Liga MX Apertura</a>. En esta competición, ambos los equipos llegaban de una derrota. <a href=/player.php?id=28681>André-Pierre Gignac</a> firmó una gran actuación con 2 goles.</p><p>La primera parte del partido llegó al final sin goles.</p><p>El primer gol del partido fue marcado por André-Pierre Gignac al minuto 54. El Tigres aumentó la diferencia a los 58 minutos, con un gol del <a href=/player.php?id=521326>Sebastián Córdova</a>. André-Pierre Gignac cerró el marcador con un gol cuando el reloj marcaba los 85 minutos.</p><p>Tras este resultado el Tigres ocupa el cinco lugar en la <a href=/edicao.php?id_edicao=165492> tabla general</a>, 30 puntos, el Atlético San Luis se queda en decimotercera posición, 18 puntos. Con respecto a los próximos partidos para el Liga MX Apertura, la equipo de Miguel Herrera <a href=/match.php?id=9003153> juega en casa ante el Necaxa</a>. Por su parte.</p>","1","2022-10-01 23:59:59"
"2476052","8726025","Barcelona se impuso al Mallorca","Barcelona se impuso al Mallorca","<p>El Barcelona se impuso al el Mallorca, alargando una racha de 7 partidos sin perder, en una con lo justo victoria, el sábado, <a href=/match.php?id=8726025>0x1</a>, en partido para la séptima jornada. Llegan a esta jornada, la equipo de Javier Aguirre llegaba de una victoria, y la equipo de Xavi Hernández llegaba de una racha de cuarta victorias consecutivas.</p><p>Cuando el reloj marcaba los 20 minutos, <a href=/player.php?id=71023>Robert Lewandowski</a> marcó el único gol de el Barcelona, a través de un remate de pie derecho, despues de un toque de <a href=/player.php?id=651388>Ansu Fati</a>.</p><p>A pesar de la victoria, el Barcelona hizo apenas 11 tiros, el número más bajo de esta temporada. A pesar de la derrota, el Mallorca rompió su récord de disparos en la temporada, con 14 tiros. Después de este resultado la equipo de Xavi Hernández ocupa el uno lugar en la <a href=/edicao.php?id_edicao=165786> clasificación</a>, 19 puntos, la equipo de Javier Aguirre se queda en decimosegunda posición, 8 puntos. Con respecto a los próximos partidos para el <a href=/edicao.php?id_edicao=165786>LaLiga</a>, la equipo de Barcelona <a href=/match.php?id=8726031> juega en casa ante el Celta de Vigo</a>. Por su parte, la equipo de Palma de Mallorca <a href=/match.php?id=8726032> visita al Elche</a>.</p>","<p>El Barcelona se impuso al el Mallorca, alargando una racha de 7 partidos sin perder, en una con lo justo victoria, el sábado, <a href=/match.php?id=8726025>0x1</a>, en partido para la séptima jornada. Llegan a esta jornada, la equipo de Javier Aguirre llegaba de una victoria, y la equipo de Xavi Hernández llegaba de una racha de cuarta victorias consecutivas.</p><p>Cuando el reloj marcaba los 20 minutos, <a href=/player.php?id=71023>Robert Lewandowski</a> marcó el único gol de el Barcelona, a través de un remate de pie derecho, despues de un toque de <a href=/player.php?id=651388>Ansu Fati</a>.</p><p>A pesar de la victoria, el Barcelona hizo apenas 11 tiros, el número más bajo de esta temporada. A pesar de la derrota, el Mallorca rompió su récord de disparos en la temporada, con 14 tiros. Después de este resultado la equipo de Xavi Hernández ocupa el uno lugar en la <a href=/edicao.php?id_edicao=165786> clasificación</a>, 19 puntos, la equipo de Javier Aguirre se queda en decimosegunda posición, 8 puntos. Con respecto a los próximos partidos para el <a href=/edicao.php?id_edicao=165786>LaLiga</a>, la equipo de Barcelona <a href=/match.php?id=8726031> juega en casa ante el Celta de Vigo</a>. Por su parte, la equipo de Palma de Mallorca <a href=/match.php?id=8726032> visita al Elche</a>.</p>","1","2022-10-01 23:59:59"
