"id","fk_jogo","title","title","texto","large_text","te_modalidade","start_day"
"3054383","8639417","Australia edge past Tunisia","Australia edge past Tunisia","<p><a href=/equipa.php?id=889>Australia</a> defeated <a href=/equipa.php?id=988>Tunisia</a>, <a href=/match.php?id=8639417>0x1</a>, on Saturday, in a match relating to the Grp.D of the <a href=/edicao.php?id_edicao=132894>World Cup</a>.</p><p><a href=/player.php?id=180590>Mitchell Duke</a> scored the winning goal after 23 minutes, through a header inside the penalty area.</p><p>With regard to the next fixture, Australia <a href=/match.php?id=8639418> will play against Denmark</a>, while Tunisia <a href=/match.php?id=8639403> will play against France</a>.</p>","<p><a href=/equipa.php?id=889>Australia</a> defeated <a href=/equipa.php?id=988>Tunisia</a>, <a href=/match.php?id=8639417>0x1</a>, on Saturday, in a match relating to the Grp.D of the <a href=/edicao.php?id_edicao=132894>World Cup</a>.</p><p><a href=/player.php?id=180590>Mitchell Duke</a> scored the winning goal after 23 minutes, through a header inside the penalty area.</p><p>With regard to the next fixture, Australia <a href=/match.php?id=8639418> will play against Denmark</a>, while Tunisia <a href=/match.php?id=8639403> will play against France</a>.</p>","1","2022-11-26 23:59:59"
"3054385","8639402","France edge past Denmark","France edge past Denmark","<p><a href=/equipa.php?id=824>France</a> beat <a href=/equipa.php?id=819>Denmark</a>, <a href=/match.php?id=8639402>2x1</a>, on Saturday, in a match relating to the Grp.D of the <a href=/edicao.php?id_edicao=132894>World Cup</a>. <a href=/player.php?id=394508>Kylian Mbappé</a> was the star with 2 goals.</p><p>The first-half ended without any goals.</p><p>The opening goal was scored by Kylian Mbappé after 61 minutes, with a right-foot shot inside the box. With 68 minutes on the clock, <a href=/player.php?id=326967>Andreas Christensen</a> struck for Denmark, from a corner. Kylian Mbappé scored the winning goal in the closing stages of the game.</p><p>In relation to forthcoming league matches, France <a href=/match.php?id=8639403> will play against Tunisia</a>, whilst Denmark <a href=/match.php?id=8639418> will play against Australia</a>.</p>","<p><a href=/equipa.php?id=824>France</a> beat <a href=/equipa.php?id=819>Denmark</a>, <a href=/match.php?id=8639402>2x1</a>, on Saturday, in a match relating to the Grp.D of the <a href=/edicao.php?id_edicao=132894>World Cup</a>. <a href=/player.php?id=394508>Kylian Mbappé</a> was the star with 2 goals.</p><p>The first-half ended without any goals.</p><p>The opening goal was scored by Kylian Mbappé after 61 minutes, with a right-foot shot inside the box. With 68 minutes on the clock, <a href=/player.php?id=326967>Andreas Christensen</a> struck for Denmark, from a corner. Kylian Mbappé scored the winning goal in the closing stages of the game.</p><p>In relation to forthcoming league matches, France <a href=/match.php?id=8639403> will play against Tunisia</a>, whilst Denmark <a href=/match.php?id=8639418> will play against Australia</a>.</p>","1","2022-11-26 23:59:59"
"3053568","8639367","Uruguay and South Korea share points","Uruguay and South Korea share points","<p><a href=/equipa.php?id=940>Uruguay</a> and <a href=/equipa.php?id=861>South Korea</a> drew <a href=/match.php?id=8639367>0x0</a> in a scoreless match on Thursday, in a match relating to the Grp.H of the <a href=/edicao.php?id_edicao=132894>World Cup</a>. Both Uruguay's national team and South Korea's national team held their first game in the competition. In the starting XI there was Martín Cáceres.</p><p>The first-half ended without any goals.</p><p>The second half was not much different from the first, with the match coming to an end with no goals.</p><p>In relation to forthcoming league matches, Uruguay <a href=/match.php?id=8639368> will play against Portugal</a>, whilst South Korea <a href=/match.php?id=8639369> will play against Ghana</a>.</p>","<p><a href=/equipa.php?id=940>Uruguay</a> and <a href=/equipa.php?id=861>South Korea</a> drew <a href=/match.php?id=8639367>0x0</a> in a scoreless match on Thursday, in a match relating to the Grp.H of the <a href=/edicao.php?id_edicao=132894>World Cup</a>. Both Uruguay's national team and South Korea's national team held their first game in the competition. In the starting XI there was Martín Cáceres.</p><p>The first-half ended without any goals.</p><p>The second half was not much different from the first, with the match coming to an end with no goals.</p><p>In relation to forthcoming league matches, Uruguay <a href=/match.php?id=8639368> will play against Portugal</a>, whilst South Korea <a href=/match.php?id=8639369> will play against Ghana</a>.</p>","1","2022-11-25 10:20:18"
"2472780","8514123","Universidad de Chile put to the sword at home by Audax Italiano","Universidad de Chile put to the sword at home by Audax Italiano","<p>Audax Italiano defeated Universidad de Chile in a close win on Monday, <a href=/match.php?id=8514123>2x3</a>, on to matchday 26 of the <a href=/edicao.php?id_edicao=161941>Liga Chilena</a>. In this competition, both teams came from a win. <a href=/player.php?id=157704>Cristian Palacios</a> runned the show.</p><p><a href=/player.php?id=529547>Matías Sepúlveda</a> opened the score in the 17th minute. With 39 minutes on the clock, Cristian Palacios fired home for Universidad de Chile.</p><p>In the 60th minute, forward fired home Sebastián Miranda's team second goal, assisted by <a href=/player.php?id=132152>Luis Casanova</a>. After 69 minutes, <a href=/player.php?id=245929>Osvaldo Bosso</a> struck the second goal for Audax Italiano. After 81 minutes, <a href=/player.php?id=431584>Jorge Henríquez</a> scored the last goal of the match, from the penalty spot.</p><p>After the result Audax Italiano are 4th in the <a href=/edicao.php?id_edicao=161941> table</a>, with 40 points, while Universidad de Chile sit 13th place, with 26 points. In their next fixture, Juan Ribera's team <a href=/match.php?id=8514129> will play at home against Unión La Calera</a>, while Sebastián Miranda's team <a href=/match.php?id=8514126> visit La Serena</a>.</p>","<p>Audax Italiano defeated Universidad de Chile in a close win on Monday, <a href=/match.php?id=8514123>2x3</a>, on to matchday 26 of the <a href=/edicao.php?id_edicao=161941>Liga Chilena</a>. In this competition, both teams came from a win. <a href=/player.php?id=157704>Cristian Palacios</a> runned the show.</p><p><a href=/player.php?id=529547>Matías Sepúlveda</a> opened the score in the 17th minute. With 39 minutes on the clock, Cristian Palacios fired home for Universidad de Chile.</p><p>In the 60th minute, forward fired home Sebastián Miranda's team second goal, assisted by <a href=/player.php?id=132152>Luis Casanova</a>. After 69 minutes, <a href=/player.php?id=245929>Osvaldo Bosso</a> struck the second goal for Audax Italiano. After 81 minutes, <a href=/player.php?id=431584>Jorge Henríquez</a> scored the last goal of the match, from the penalty spot.</p><p>After the result Audax Italiano are 4th in the <a href=/edicao.php?id_edicao=161941> table</a>, with 40 points, while Universidad de Chile sit 13th place, with 26 points. In their next fixture, Juan Ribera's team <a href=/match.php?id=8514129> will play at home against Unión La Calera</a>, while Sebastián Miranda's team <a href=/match.php?id=8514126> visit La Serena</a>.</p>","1","2022-10-04 10:24:34"
"2464005","8712440","Spoils shared between Cukaricki and Radnicki Nis","Spoils shared between Cukaricki and Radnicki Nis","<p>Relating to matchweek 13 of the <a href=/edicao.php?id_edicao=165626>Serbian League</a>, the game between Cukaricki and Radnicki Nis on Monday ended in a draw, <a href=/match.php?id=8712440>2x2</a>. To this matchday, Dusan Kerkez's team came from four wins, and Sasa Mrkic's team came from a win. <a href=/player.php?id=105644>Aleksandar Pejovic</a> was decisive with 1 goal.</p><p>The opening goal was scored by <a href=/player.php?id=218359>Marko Docic</a> with 12 minutes on the clock, from the penalty spot. After 24 minutes, <a href=/player.php?id=252989>Sasa Jovanovic</a> fired home for Radnicki Nis.</p><p>In the closing stages of the game, <a href=/player.php?id=511769>Stefan Kovac</a> scored the second goal for Cukaricki. After 89 minutes, Aleksandar Pejovic netted the final goal of the game, from the penalty spot.</p><p>After the result Cukaricki are 3rd in the <a href=/edicao.php?id_edicao=165626> table</a>, with 26 points, while Radnicki Nis sit 11th place, with 13 points. In the next fixture, Dusan Kerkez's team <a href=/match.php?id=8712455> will play at home against FK Javor Ivanjica</a>. Meanwhile, Sasa Mrkic's team <a href=/match.php?id=8712448> will host Radnicki Kragujevac</a>.</p>","<p>Relating to matchweek 13 of the <a href=/edicao.php?id_edicao=165626>Serbian League</a>, the game between Cukaricki and Radnicki Nis on Monday ended in a draw, <a href=/match.php?id=8712440>2x2</a>. To this matchday, Dusan Kerkez's team came from four wins, and Sasa Mrkic's team came from a win. <a href=/player.php?id=105644>Aleksandar Pejovic</a> was decisive with 1 goal.</p><p>The opening goal was scored by <a href=/player.php?id=218359>Marko Docic</a> with 12 minutes on the clock, from the penalty spot. After 24 minutes, <a href=/player.php?id=252989>Sasa Jovanovic</a> fired home for Radnicki Nis.</p><p>In the closing stages of the game, <a href=/player.php?id=511769>Stefan Kovac</a> scored the second goal for Cukaricki. After 89 minutes, Aleksandar Pejovic netted the final goal of the game, from the penalty spot.</p><p>After the result Cukaricki are 3rd in the <a href=/edicao.php?id_edicao=165626> table</a>, with 26 points, while Radnicki Nis sit 11th place, with 13 points. In the next fixture, Dusan Kerkez's team <a href=/match.php?id=8712455> will play at home against FK Javor Ivanjica</a>. Meanwhile, Sasa Mrkic's team <a href=/match.php?id=8712448> will host Radnicki Kragujevac</a>.</p>","1","2022-10-03 17:04:43"
"2464000","8454757","Houston Dynamo run out winners versus Nashville SC","Houston Dynamo run out winners versus Nashville SC","<p>Houston Dynamo triumphed over Nashville SC, <a href=/match.php?id=8454757>1x2</a>, on Sunday, on to matchday 3 of the <a href=/edicao.php?id_edicao=161469>MLS</a>. Coming into the contest, Gary Smith's team came from two draws, and Houston, TX's team came from a defeat. <a href=/player.php?id=311247>Walker Zimmerman</a> was decisive with 1 goal.</p><p>The opening goal was scored by <a href=/player.php?id=452610>Sebastián Ferreira</a> after 29 minutes, from the penalty spot. In the 39th minute, forward scored the second goal for Houston Dynamo, laid on by <a href=/player.php?id=60890>Darwin Quintero</a>.</p><p>With 90 minutes already on the clock, Houston, TX's team saw <a href=/player.php?id=465458>Teenage Hadebe</a> get sent off due to accumulation of yellows. Walker Zimmerman netted the last goal deep into added time.</p><p>. With regard to the next fixture, Houston Dynamo <a href=/match.php?id=8454767> will play at home against LA Galaxy</a>. Meanwhile, Nashville SC <a href=/match.php?id=8454768> visit Los Angeles FC</a>.</p>","<p>Houston Dynamo triumphed over Nashville SC, <a href=/match.php?id=8454757>1x2</a>, on Sunday, on to matchday 3 of the <a href=/edicao.php?id_edicao=161469>MLS</a>. Coming into the contest, Gary Smith's team came from two draws, and Houston, TX's team came from a defeat. <a href=/player.php?id=311247>Walker Zimmerman</a> was decisive with 1 goal.</p><p>The opening goal was scored by <a href=/player.php?id=452610>Sebastián Ferreira</a> after 29 minutes, from the penalty spot. In the 39th minute, forward scored the second goal for Houston Dynamo, laid on by <a href=/player.php?id=60890>Darwin Quintero</a>.</p><p>With 90 minutes already on the clock, Houston, TX's team saw <a href=/player.php?id=465458>Teenage Hadebe</a> get sent off due to accumulation of yellows. Walker Zimmerman netted the last goal deep into added time.</p><p>. With regard to the next fixture, Houston Dynamo <a href=/match.php?id=8454767> will play at home against LA Galaxy</a>. Meanwhile, Nashville SC <a href=/match.php?id=8454768> visit Los Angeles FC</a>.</p>","1","2022-10-03 17:04:05"
"2170202","8828411","Championnat National U19: Lens lose out to Amiens SC","Championnat National U19: Lens lose out to Amiens SC","<p>Amiens SC triumphed over Lens in a close win on Sunday, <a href=/match.php?id=8828411>1x2</a>, in a game related to matchweek 3 of Championnat National U19. To this matchweek, Lens's team came from two wins, and Amiens's team came from a win. <a href=/player.php?id=954471>Mathis Touho</a> was decisive with 1 goal.</p><p>The first-half ended without any goals.</p><p>The first goal of the game was scored by <a href=/player.php?id=955004>Florian Dewaele</a>, after 52 minutes. After 55 minutes, <a href=/player.php?id=954464>Aurélien Digbeu</a> fired home for Amiens SC. Mathis Touho scored the winner in the closing stages of the game.</p><p>After the result Amiens SC are 3rd in the <a href=/edicao.php?id_edicao=166842> table</a>, with 7 points, while Lens sit 4th place, with 6 points. Next up, Amiens's team <a href=/match.php?id=8828417> will host ESM Gonfreville</a>, while Lens's team <a href=/match.php?id=8828418> will play away against Lille</a>.</p>","<p>Amiens SC triumphed over Lens in a close win on Sunday, <a href=/match.php?id=8828411>1x2</a>, in a game related to matchweek 3 of Championnat National U19. To this matchweek, Lens's team came from two wins, and Amiens's team came from a win. <a href=/player.php?id=954471>Mathis Touho</a> was decisive with 1 goal.</p><p>The first-half ended without any goals.</p><p>The first goal of the game was scored by <a href=/player.php?id=955004>Florian Dewaele</a>, after 52 minutes. After 55 minutes, <a href=/player.php?id=954464>Aurélien Digbeu</a> fired home for Amiens SC. Mathis Touho scored the winner in the closing stages of the game.</p><p>After the result Amiens SC are 3rd in the <a href=/edicao.php?id_edicao=166842> table</a>, with 7 points, while Lens sit 4th place, with 6 points. Next up, Amiens's team <a href=/match.php?id=8828417> will host ESM Gonfreville</a>, while Lens's team <a href=/match.php?id=8828418> will play away against Lille</a>.</p>","1","2022-09-04 23:59:59"
"1957548","8486435","A point apiece for FH Hafnarfjordur and UF Stjarnan","A point apiece for FH Hafnarfjordur and UF Stjarnan","<p>FH Hafnarfjordur and UF Stjarnan drew <a href=/match.php?id=8486435>1x1</a> in a match on Monday, on matchday 11. In this competition, both teams came from two draws. <a href=/player.php?id=749371>Adolf Birgisson</a> was decisive with 1 goal.</p><p>The first-half ended with a goalless draw.</p><p>The first goal of the game was scored by <a href=/player.php?id=34615>Steven Lennon</a>, after 57 minutes. With this goal, Steven Lennon reached the 10th goal of the season. Sub Adolf Birgisson, in the 58th minute, changed the course of the game. Midfielder netted the last goal in the final minutes of the game.</p><p>After the result UF Stjarnan are 2nd in the <a href=/edicao.php?id_edicao=161715> table</a>, with 20 points, while FH Hafnarfjordur sit 8th place, with 10 points. In their next fixture, Ólafur Jóhannesson's team <a href=/match.php?id=8486441> visit Fram Reykjavik</a>. Meanwhile, Ágúst Gylfason's team <a href=/match.php?id=8486440> will host Leiknir Reykjavik</a>.</p>","<p>FH Hafnarfjordur and UF Stjarnan drew <a href=/match.php?id=8486435>1x1</a> in a match on Monday, on matchday 11. In this competition, both teams came from two draws. <a href=/player.php?id=749371>Adolf Birgisson</a> was decisive with 1 goal.</p><p>The first-half ended with a goalless draw.</p><p>The first goal of the game was scored by <a href=/player.php?id=34615>Steven Lennon</a>, after 57 minutes. With this goal, Steven Lennon reached the 10th goal of the season. Sub Adolf Birgisson, in the 58th minute, changed the course of the game. Midfielder netted the last goal in the final minutes of the game.</p><p>After the result UF Stjarnan are 2nd in the <a href=/edicao.php?id_edicao=161715> table</a>, with 20 points, while FH Hafnarfjordur sit 8th place, with 10 points. In their next fixture, Ólafur Jóhannesson's team <a href=/match.php?id=8486441> visit Fram Reykjavik</a>. Meanwhile, Ágúst Gylfason's team <a href=/match.php?id=8486440> will host Leiknir Reykjavik</a>.</p>","1","2022-07-04 23:59:59"
"1640280","8662103","Paraguay thrashed by Japan","Paraguay thrashed by Japan","<p>Japan overcame Paraguay, <a href=/match.php?id=8662103>4x1</a>, on Thursday, in a match relating of <a href=/edicao.php?id_edicao=161161>National Team Friendlies </a>. Both Japão's national team and Paraguai's national team made their first game in the competition.</p><p>After 36 minutes, <a href=/player.php?id=316885>Takuma Asano</a> opened the score for Japan, laid on by <a href=/player.php?id=94985>Genki Haraguchi</a>. Shortly before the interval, Japão's national team increased their lead with a goal from <a href=/player.php?id=455402>Daichi Kamada</a>.&nbsp;</p><p>With 59 minutes on the clock, <a href=/player.php?id=181070>Derlis González</a> struck for Paraguay, assisted by <a href=/player.php?id=229104>Óscar Romero</a>. In the 60th minute,&nbsp;<a href=/player.php?id=642261>Kaoru Mitoma</a> doubled the lead for Hajime Moriyasu's team.&nbsp; after 70 minutes, <a href=/player.php?id=456606>Ritsu Doan</a> missed the spot-kick. With 85 minutes on the clock, <a href=/player.php?id=552182>Ao Tanaka</a> scored the last goal of the match, assisted by Daichi Kamada.</p><p>In the next fixture, Japan <a href=/match.php?id=8654524> will play at home against Brasil</a>, while Paraguay <a href=/match.php?id=8662106> will play away against Coreia do Sul</a>.</p>","<p>Japan overcame Paraguay, <a href=/match.php?id=8662103>4x1</a>, on Thursday, in a match relating of <a href=/edicao.php?id_edicao=161161>National Team Friendlies </a>. Both Japão's national team and Paraguai's national team made their first game in the competition.</p><p>After 36 minutes, <a href=/player.php?id=316885>Takuma Asano</a> opened the score for Japan, laid on by <a href=/player.php?id=94985>Genki Haraguchi</a>. Shortly before the interval, Japão's national team increased their lead with a goal from <a href=/player.php?id=455402>Daichi Kamada</a>.&nbsp;</p><p>With 59 minutes on the clock, <a href=/player.php?id=181070>Derlis González</a> struck for Paraguay, assisted by <a href=/player.php?id=229104>Óscar Romero</a>. In the 60th minute,&nbsp;<a href=/player.php?id=642261>Kaoru Mitoma</a> doubled the lead for Hajime Moriyasu's team.&nbsp; after 70 minutes, <a href=/player.php?id=456606>Ritsu Doan</a> missed the spot-kick. With 85 minutes on the clock, <a href=/player.php?id=552182>Ao Tanaka</a> scored the last goal of the match, assisted by Daichi Kamada.</p><p>In the next fixture, Japan <a href=/match.php?id=8654524> will play at home against Brasil</a>, while Paraguay <a href=/match.php?id=8662106> will play away against Coreia do Sul</a>.</p>","1","2022-06-02 13:06:43"
"1388537","8609570","Maccabi Netanya thrash Bnei Sakhnin","Maccabi Netanya thrash Bnei Sakhnin","<p>Maccabi Netanya edged out Bnei Sakhnin, <a href=/match.php?id=8609570>3x0</a>, on Tuesday, in game related to round 8. Before this Matchday, Netanya's team came from a defeat, and Sakhnin's team came from a draw.</p><p><a href=/player.php?id=233766>Patrick Twumasi</a> opened the score shortly before the interval.</p><p>After 66 minutes, <a href=/player.php?id=657516>Boris Enow</a> fired home Maccabi Netanya's second goal. <a href=/player.php?id=599526>Amir Berkovits</a> netted the last goal in the closing stages of the game.</p><p>. In relation to forthcoming league matches, Maccabi Netanya <a href=/match.php?id=8609571> will host Hapoel Tel Aviv</a>. Meanwhile, Bnei Sakhnin <a href=/match.php?id=8609572> will play at home against Maccabi Haifa</a>.</p>","<p>Maccabi Netanya edged out Bnei Sakhnin, <a href=/match.php?id=8609570>3x0</a>, on Tuesday, in game related to round 8. Before this Matchday, Netanya's team came from a defeat, and Sakhnin's team came from a draw.</p><p><a href=/player.php?id=233766>Patrick Twumasi</a> opened the score shortly before the interval.</p><p>After 66 minutes, <a href=/player.php?id=657516>Boris Enow</a> fired home Maccabi Netanya's second goal. <a href=/player.php?id=599526>Amir Berkovits</a> netted the last goal in the closing stages of the game.</p><p>. In relation to forthcoming league matches, Maccabi Netanya <a href=/match.php?id=8609571> will host Hapoel Tel Aviv</a>. Meanwhile, Bnei Sakhnin <a href=/match.php?id=8609572> will play at home against Maccabi Haifa</a>.</p>","1","2022-05-11 12:07:52"
